open,high,low,close,volume,minutes_since_day_start,minutes_since_week_start,next_open,next_close,next_low,next_high,next_volume
94.2,94.2,94.2,94.2,1035,419,1859,94.2,94.2,94.2,94.4,3290.0
94.2,94.4,94.2,94.2,3290,420,1860,94.4,94.6,94.2,94.6,2033.0
94.4,94.6,94.2,94.6,2033,421,1861,94.4,94.4,94.4,94.6,3306.0
94.4,94.6,94.4,94.4,3306,422,1862,94.6,94.6,94.4,94.6,2047.0
94.6,94.6,94.4,94.6,2047,423,1863,94.4,94.6,94.4,94.6,221.0
94.4,94.6,94.4,94.6,221,424,1864,94.4,93.8,93.4,94.6,24011.0
94.4,94.6,93.4,93.8,24011,425,1865,93.8,94.0,93.8,94.0,61.0
93.8,94.0,93.8,94.0,61,426,1866,94.0,94.0,93.4,94.0,3733.0
94.0,94.0,93.4,94.0,3733,427,1867,94.0,93.8,93.8,94.0,16.0
94.0,94.0,93.8,93.8,16,428,1868,93.8,93.8,93.8,94.0,512.0
93.8,94.0,93.8,93.8,512,429,1869,93.8,93.8,93.6,93.8,2327.0
93.8,93.8,93.6,93.8,2327,430,1870,93.6,93.8,93.6,93.8,155.0
93.6,93.8,93.6,93.8,155,431,1871,93.6,93.6,93.4,93.6,4444.0
93.6,93.6,93.4,93.6,4444,432,1872,93.4,93.6,93.4,93.6,918.0
93.4,93.6,93.4,93.6,918,433,1873,93.4,93.4,93.4,93.6,2314.0
93.4,93.6,93.4,93.4,2314,434,1874,93.6,93.4,93.2,93.6,3389.0
93.6,93.6,93.2,93.4,3389,435,1875,93.4,93.4,93.2,93.4,1471.0
93.4,93.4,93.2,93.4,1471,436,1876,93.4,93.4,93.4,93.6,3393.0
93.4,93.6,93.4,93.4,3393,437,1877,93.4,93.8,93.4,93.8,13181.0
93.4,93.8,93.4,93.8,13181,438,1878,93.8,93.8,93.6,93.8,290.0
93.8,93.8,93.6,93.8,290,439,1879,93.6,93.6,93.6,93.8,303.0
93.6,93.8,93.6,93.6,303,440,1880,93.6,93.6,93.6,93.6,1414.0
93.6,93.6,93.6,93.6,1414,441,1881,93.8,93.6,93.6,93.8,16.0
93.8,93.8,93.6,93.6,16,442,1882,93.6,93.6,93.6,93.8,463.0
93.6,93.8,93.6,93.6,463,443,1883,93.8,93.6,93.6,93.8,1285.0
93.8,93.8,93.6,93.6,1285,444,1884,93.4,93.6,93.4,93.6,10061.0
93.4,93.6,93.4,93.6,10061,445,1885,93.6,93.4,93.4,93.8,39.0
93.6,93.8,93.4,93.4,39,446,1886,93.4,93.8,93.4,93.8,414.0
93.4,93.8,93.4,93.8,414,447,1887,93.8,93.6,93.6,93.8,1210.0
93.8,93.8,93.6,93.6,1210,448,1888,93.6,93.6,93.4,93.8,1461.0
93.6,93.8,93.4,93.6,1461,449,1889,93.4,93.6,93.4,93.6,48.0
93.4,93.6,93.4,93.6,48,450,1890,93.4,93.0,92.8,93.4,76140.0
93.4,93.4,92.8,93.0,76140,451,1891,93.0,92.2,91.8,93.0,29996.0
93.0,93.0,91.8,92.2,29996,452,1892,92.2,92.2,92.0,92.6,14683.0
92.2,92.6,92.0,92.2,14683,453,1893,92.0,92.0,91.8,92.4,8411.0
92.0,92.4,91.8,92.0,8411,454,1894,92.0,91.6,91.4,92.0,19690.0
92.0,92.0,91.4,91.6,19690,455,1895,91.8,91.4,91.4,92.0,8628.0
91.8,92.0,91.4,91.4,8628,456,1896,91.6,92.0,91.6,92.0,3018.0
91.6,92.0,91.6,92.0,3018,457,1897,91.8,91.8,91.6,92.0,1458.0
91.8,92.0,91.6,91.8,1458,458,1898,91.8,91.8,91.4,91.8,4348.0
91.8,91.8,91.4,91.8,4348,459,1899,91.8,92.2,91.4,92.2,12302.0
91.8,92.2,91.4,92.2,12302,460,1900,92.0,92.0,91.8,92.2,440.0
92.0,92.2,91.8,92.0,440,461,1901,92.0,92.2,91.8,92.2,1396.0
92.0,92.2,91.8,92.2,1396,462,1902,92.0,92.2,92.0,92.2,3445.0
92.0,92.2,92.0,92.2,3445,463,1903,92.0,92.2,92.0,92.2,4126.0
92.0,92.2,92.0,92.2,4126,464,1904,92.4,92.4,92.4,92.4,2024.0
92.4,92.4,92.4,92.4,2024,465,1905,92.2,92.2,92.0,92.2,5439.0
92.2,92.2,92.0,92.2,5439,466,1906,92.2,92.2,92.0,92.2,1188.0
92.2,92.2,92.0,92.2,1188,467,1907,92.0,92.2,92.0,92.2,572.0
92.0,92.2,92.0,92.2,572,468,1908,92.2,92.2,92.0,92.2,9.0
92.2,92.2,92.0,92.2,9,469,1909,92.0,92.2,92.0,92.2,656.0
92.0,92.2,92.0,92.2,656,470,1910,92.2,92.0,91.8,92.2,7601.0
92.2,92.2,91.8,92.0,7601,471,1911,92.0,92.0,91.8,92.0,917.0
92.0,92.0,91.8,92.0,917,472,1912,92.0,92.0,91.8,92.0,997.0
92.0,92.0,91.8,92.0,997,473,1913,92.0,92.0,91.8,92.0,595.0
92.0,92.0,91.8,92.0,595,474,1914,91.8,92.0,91.8,92.0,553.0
91.8,92.0,91.8,92.0,553,475,1915,92.0,91.4,91.2,92.0,17692.0
92.0,92.0,91.2,91.4,17692,476,1916,91.4,90.6,90.4,91.4,23167.0
91.4,91.4,90.4,90.6,23167,477,1917,90.6,90.8,90.4,91.0,5105.0
90.6,91.0,90.4,90.8,5105,478,1918,90.8,90.2,90.2,90.8,5193.0
90.8,90.8,90.2,90.2,5193,479,1919,90.4,90.4,90.2,90.4,6412.0
90.4,90.4,90.2,90.4,6412,480,1920,90.2,90.0,89.4,90.2,31136.0
90.2,90.2,89.4,90.0,31136,481,1921,90.0,89.6,89.2,90.0,29998.0
90.0,90.0,89.2,89.6,29998,482,1922,89.4,90.4,89.4,90.8,47743.0
89.4,90.8,89.4,90.4,47743,483,1923,90.8,91.2,90.4,91.4,42840.0
90.8,91.4,90.4,91.2,42840,484,1924,91.0,91.0,90.6,91.6,34847.0
91.0,91.6,90.6,91.0,34847,485,1925,90.8,91.0,90.8,91.2,522.0
90.8,91.2,90.8,91.0,522,486,1926,91.0,91.0,90.8,91.2,1516.0
91.0,91.2,90.8,91.0,1516,487,1927,91.2,91.0,90.8,91.4,1772.0
91.2,91.4,90.8,91.0,1772,488,1928,91.2,91.2,91.0,91.2,396.0
91.2,91.2,91.0,91.2,396,489,1929,91.0,91.2,91.0,91.2,1014.0
91.0,91.2,91.0,91.2,1014,490,1930,91.2,91.0,90.8,91.2,1627.0
91.2,91.2,90.8,91.0,1627,491,1931,90.8,90.8,90.8,91.0,3575.0
90.8,91.0,90.8,90.8,3575,492,1932,90.8,90.6,90.6,91.0,6898.0
90.8,91.0,90.6,90.6,6898,493,1933,90.6,90.6,90.4,90.6,1867.0
90.6,90.6,90.4,90.6,1867,494,1934,90.6,90.6,90.4,90.6,2628.0
90.6,90.6,90.4,90.6,2628,495,1935,90.6,90.4,90.4,90.6,987.0
90.6,90.6,90.4,90.4,987,496,1936,90.6,90.6,90.4,90.6,166.0
90.6,90.6,90.4,90.6,166,497,1937,90.4,90.6,90.4,90.6,857.0
90.4,90.6,90.4,90.6,857,498,1938,90.6,90.6,90.4,90.8,5043.0
90.6,90.8,90.4,90.6,5043,499,1939,90.6,91.0,90.6,91.0,3015.0
90.6,91.0,90.6,91.0,3015,500,1940,91.0,91.0,91.0,91.0,33.0
91.0,91.0,91.0,91.0,33,501,1941,90.8,91.0,90.8,91.2,2029.0
90.8,91.2,90.8,91.0,2029,502,1942,91.0,91.2,90.8,91.2,1388.0
91.0,91.2,90.8,91.2,1388,503,1943,91.2,91.4,91.0,91.4,6920.0
91.2,91.4,91.0,91.4,6920,504,1944,91.4,91.4,91.2,91.4,533.0
91.4,91.4,91.2,91.4,533,505,1945,91.4,91.6,91.4,91.6,1817.0
91.4,91.6,91.4,91.6,1817,506,1946,91.6,91.4,91.4,91.8,3726.0
91.6,91.8,91.4,91.4,3726,507,1947,91.4,91.6,91.4,91.6,2574.0
91.4,91.6,91.4,91.6,2574,508,1948,91.6,91.6,91.6,91.6,993.0
91.6,91.6,91.6,91.6,993,509,1949,91.6,91.8,91.6,91.8,4450.0
91.6,91.8,91.6,91.8,4450,510,1950,91.8,91.4,91.0,92.0,10814.0
91.8,92.0,91.0,91.4,10814,511,1951,91.6,92.0,91.2,92.0,4823.0
91.6,92.0,91.2,92.0,4823,512,1952,91.8,91.8,91.6,92.0,919.0
91.8,92.0,91.6,91.8,919,513,1953,91.8,92.0,91.8,92.0,1056.0
91.8,92.0,91.8,92.0,1056,514,1954,92.0,91.8,91.8,92.0,2762.0
92.0,92.0,91.8,91.8,2762,515,1955,92.0,92.0,91.8,92.0,215.0
92.0,92.0,91.8,92.0,215,516,1956,92.0,92.0,91.8,92.0,1188.0
92.0,92.0,91.8,92.0,1188,517,1957,92.0,91.8,91.8,92.0,23.0
92.0,92.0,91.8,91.8,23,518,1958,92.0,91.8,91.8,92.0,106.0
92.0,92.0,91.8,91.8,106,519,1959,92.0,91.6,91.6,92.0,2595.0
92.0,92.0,91.6,91.6,2595,520,1960,91.6,91.2,91.2,91.8,2114.0
91.6,91.8,91.2,91.2,2114,521,1961,91.2,91.2,91.2,91.2,5.0
91.2,91.2,91.2,91.2,5,522,1962,91.2,90.6,90.6,91.2,12649.0
91.2,91.2,90.6,90.6,12649,523,1963,90.8,91.0,90.6,91.0,2448.0
90.8,91.0,90.6,91.0,2448,524,1964,91.0,91.0,91.0,91.2,814.0
91.0,91.2,91.0,91.0,814,525,1965,91.2,91.0,91.0,91.2,1170.0
91.2,91.2,91.0,91.0,1170,526,1966,91.0,91.2,91.0,91.2,241.0
91.0,91.2,91.0,91.2,241,527,1967,91.2,91.2,91.0,91.4,306.0
91.2,91.4,91.0,91.2,306,528,1968,91.2,91.4,91.2,91.4,175.0
91.2,91.4,91.2,91.4,175,529,1969,91.4,91.4,91.4,91.4,21.0
91.4,91.4,91.4,91.4,21,530,1970,91.4,91.4,91.4,91.4,257.0
91.4,91.4,91.4,91.4,257,531,1971,91.4,91.4,91.2,91.4,1523.0
91.4,91.4,91.2,91.4,1523,532,1972,91.2,91.4,91.2,91.4,232.0
91.2,91.4,91.2,91.4,232,533,1973,91.4,91.4,91.4,91.4,12.0
91.4,91.4,91.4,91.4,12,534,1974,91.4,91.2,91.2,91.4,2018.0
91.4,91.4,91.2,91.2,2018,535,1975,91.4,91.4,91.2,91.4,108.0
91.4,91.4,91.2,91.4,108,536,1976,91.2,91.4,91.2,91.4,608.0
91.2,91.4,91.2,91.4,608,537,1977,91.4,91.4,91.2,91.4,55.0
91.4,91.4,91.2,91.4,55,538,1978,91.2,91.4,91.2,91.4,17.0
91.2,91.4,91.2,91.4,17,539,1979,91.4,91.4,91.4,91.4,547.0
91.4,91.4,91.4,91.4,547,540,1980,91.2,91.2,91.2,91.4,2011.0
91.2,91.4,91.2,91.2,2011,541,1981,91.4,91.4,91.2,91.4,504.0
91.4,91.4,91.2,91.4,504,542,1982,91.4,91.2,91.2,91.4,910.0
91.4,91.4,91.2,91.2,910,543,1983,91.4,91.2,91.2,91.4,31.0
91.4,91.4,91.2,91.2,31,544,1984,91.4,91.4,91.4,91.4,6.0
91.4,91.4,91.4,91.4,6,545,1985,91.4,91.2,91.2,91.4,1594.0
91.4,91.4,91.2,91.2,1594,546,1986,91.4,91.6,91.4,91.6,3221.0
91.4,91.6,91.4,91.6,3221,547,1987,91.6,91.6,91.4,91.6,112.0
91.6,91.6,91.4,91.6,112,548,1988,91.4,91.4,91.4,91.4,78.0
91.4,91.4,91.4,91.4,78,549,1989,91.4,91.4,91.4,91.4,12.0
91.4,91.4,91.4,91.4,12,550,1990,91.4,91.6,91.4,91.6,44.0
91.4,91.6,91.4,91.6,44,551,1991,91.6,91.6,91.4,91.6,34.0
